family,size,err_type,n,mean_reduction,median_reduction,stdev_reduction,mean_truth_in_lca,median_rank_of_truth,mean_rank_pct,median_rank_pct
grid,3,direction,30,0.736,0.720,0.073,1.000,0,0.059,0.000
grid,3,naming,28,0.687,0.696,0.105,0.442,1,0.153,0.111
grid,3,topology,30,0.594,0.583,0.032,1.000,0,0.157,0.000
grid,4,direction,30,0.737,0.735,0.063,1.000,0,0.003,0.000
grid,4,naming,29,0.731,0.708,0.082,0.523,1,0.090,0.071
grid,4,topology,30,0.592,0.583,0.022,1.000,0,0.074,0.000
grid,5,direction,30,0.736,0.728,0.079,1.000,0,0.005,0.000
grid,5,naming,30,0.735,0.725,0.070,0.661,1,0.070,0.044
grid,5,topology,30,0.588,0.575,0.016,1.000,1,0.034,0.030
grid,6,direction,30,0.724,0.686,0.097,1.000,0,0.002,0.000
grid,6,naming,30,0.769,0.761,0.114,0.518,1,0.061,0.030
grid,6,topology,30,0.578,0.575,0.014,1.000,2,0.041,0.049
grid,7,direction,30,0.744,0.743,0.092,1.000,0,0.000,0.000
grid,7,naming,30,0.719,0.722,0.073,0.698,1,0.028,0.022
grid,7,topology,30,0.566,0.560,0.009,1.000,0,0.012,0.000
random,15,direction,30,0.480,0.500,0.137,1.000,1,0.078,0.087
random,15,naming,28,0.611,0.607,0.233,0.218,3,2.078,1.000
random,15,topology,30,0.260,0.267,0.081,1.000,2,0.185,0.182
random,30,direction,30,0.497,0.500,0.187,1.000,0,0.004,0.000
random,30,naming,27,0.497,0.483,0.163,0.326,2,0.464,0.167
random,30,topology,30,0.191,0.200,0.045,1.000,2,0.086,0.082
random,60,direction,30,0.421,0.383,0.177,1.000,0,0.001,0.000
random,60,naming,30,0.491,0.415,0.261,0.357,11,1.315,0.429
random,60,topology,30,0.134,0.133,0.035,1.000,2,0.036,0.038
random,120,direction,30,0.440,0.367,0.223,1.000,0,0.001,0.000
random,120,naming,30,0.439,0.412,0.173,0.465,12,0.364,0.147
random,120,topology,30,0.187,0.192,0.026,1.000,2,0.018,0.020
tree,3,direction,30,0.486,0.478,0.235,1.000,0,0.062,0.000
tree,3,naming,28,0.535,0.477,0.190,0.216,4,0.881,0.431
tree,3,topology,30,0.159,0.174,0.038,1.000,2,0.102,0.103
tree,4,direction,30,0.409,0.346,0.174,1.000,0,0.033,0.016
tree,4,naming,30,0.447,0.395,0.204,0.298,8,0.794,0.341
tree,4,topology,30,0.150,0.154,0.030,1.000,2,0.057,0.059
tree,5,direction,30,0.336,0.339,0.151,1.000,0,0.004,0.000
tree,5,naming,30,0.386,0.379,0.152,0.380,14,0.658,0.439
tree,5,topology,30,0.096,0.102,0.014,1.000,2,0.038,0.038
tree,6,direction,30,0.357,0.343,0.135,1.000,0,0.004,0.000
tree,6,naming,30,0.333,0.341,0.160,0.374,10,0.394,0.165
tree,6,topology,30,0.099,0.096,0.010,1.000,2,0.026,0.027
